"couple"	"ppnr"	"beepnr"	"DayESM"	"happy"	"relaxed"	"enact_respons"	"together_0"	"together_1"
11	11	30	3	62	57	4	NA	1
11	11	31	3	78	87	74	NA	1
11	11	32	3	73	85	49	NA	1
11	11	33	3	52	61	45	NA	1
11	11	34	3	59	68	14	NA	1
11	11	35	3	76	72	65	NA	1
11	11	36	3	NA	NA	NA	NA	NA
11	11	37	3	0	67	78	NA	1
11	11	38	3	84	97	87	NA	1
11	11	39	3	83	98	68	NA	1
11	11	40	3	80	96	82	NA	1
11	11	41	4	52	30	5	1	NA
11	11	42	4	54	14	43	1	NA
11	11	43	4	35	57	67	NA	1
11	11	44	4	21	19	16	NA	1
11	11	45	4	44	38	12	NA	1
11	11	46	4	62	78	37	NA	1
11	11	47	5	9	16	54	1	NA
11	11	48	5	49	45	48	1	NA
11	11	49	5	36	34	42	1	NA
11	11	50	5	76	79	76	NA	1
11	11	51	5	60	76	62	NA	1
11	11	52	5	48	59	76	NA	1
11	11	53	6	66	60	81	1	NA
11	11	54	6	NA	NA	NA	NA	NA
11	11	55	6	NA	NA	NA	NA	NA
11	11	56	6	NA	NA	NA	NA	NA
11	11	57	6	NA	NA	NA	NA	NA
11	11	58	6	NA	NA	NA	NA	NA
12	12	1	1	55	47	64	NA	1
12	12	2	1	69	72	62	NA	1
12	12	3	1	67	66	56	NA	1
12	12	4	1	69	71	46	NA	1
12	12	5	1	69	73	62	NA	1
12	12	6	1	54	54	34	NA	1
12	12	7	2	58	49	56	NA	1
12	12	8	2	68	58	57	NA	1
12	12	9	2	62	60	58	NA	1
12	12	10	2	67	69	59	NA	1
12	12	11	2	72	72	51	NA	1
12	12	12	2	42	28	53	NA	1
12	12	13	2	70	42	58	1	NA
12	12	14	2	75	79	51	NA	1
12	12	15	2	74	81	61	NA	1
12	12	16	2	59	56	63	1	NA
12	12	17	2	56	74	66	NA	1
12	12	18	2	30	33	36	1	NA
12	12	19	2	27	31	44	NA	1
12	12	20	2	55	40	44	NA	1
12	12	21	3	56	58	63	NA	1
12	12	22	3	61	66	60	1	NA
12	12	23	3	64	67	64	NA	1
12	12	24	3	70	67	44	NA	1
12	12	25	3	66	64	51	NA	1
12	12	26	3	68	80	57	NA	1
12	12	27	3	64	74	64	NA	1
12	12	28	3	65	63	45	NA	1
12	12	29	3	66	66	56	NA	1
12	12	30	3	63	67	59	NA	1
12	12	31	3	63	67	62	NA	1
12	12	32	3	72	51	52	NA	1
12	12	33	3	74	76	57	NA	1
12	12	34	3	NA	NA	NA	NA	NA
12	12	35	4	38	46	64	NA	1
12	12	36	4	38	38	50	NA	1
12	12	37	4	66	38	51	NA	1
12	12	38	4	53	46	66	NA	1
12	12	39	4	59	43	60	NA	1
12	12	40	4	67	65	62	NA	1
12	12	41	5	80	67	71	NA	1
12	12	42	5	76	67	69	NA	1
12	12	43	5	78	76	65	NA	1
12	12	44	5	77	71	63	NA	1
12	12	45	5	68	65	63	NA	1
12	12	46	5	76	66	59	NA	1
12	12	47	6	74	75	65	NA	1
12	12	48	6	77	76	70	NA	1
12	12	49	6	76	78	62	NA	1
12	12	50	6	88	84	70	NA	1
